frame_number,timestamp,object_class_id,object_class_name,confidence_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
61,1.0176833333333333,39,bottle,0.9012040495872498,581,1386,1035,2396
62,1.0343666666666667,63,laptop,0.9286054968833923,1056,1585,2160,2830
62,1.0343666666666667,39,bottle,0.8984200954437256,580,1383,1034,2396
63,1.05105,63,laptop,0.9291639924049377,1052,1585,2160,2829
63,1.05105,39,bottle,0.9075493216514587,576,1382,1031,2396
64,1.0677333333333334,63,laptop,0.9301255345344543,1048,1582,2160,2827
64,1.0677333333333334,39,bottle,0.9090377688407898,574,1378,1029,2397
65,1.0844166666666666,63,laptop,0.930512547492981,1046,1579,2160,2826
65,1.0844166666666666,39,bottle,0.9065723419189453,570,1378,1025,2399
66,1.1011,63,laptop,0.9300751090049744,1043,1579,2160,2826
66,1.1011,39,bottle,0.9096725583076477,562,1378,1025,2393
67,1.1177833333333334,63,laptop,0.9274097681045532,1041,1580,2160,2825
67,1.1177833333333334,39,bottle,0.9100025296211243,556,1377,1019,2397
68,1.1344666666666667,63,laptop,0.9251527786254883,1040,1577,2160,2825
68,1.1344666666666667,39,bottle,0.9097388386726379,553,1377,1014,2398
69,1.1511500000000001,63,laptop,0.9256002902984619,1037,1577,2160,2825
69,1.1511500000000001,39,bottle,0.906517744064331,551,1378,1019,2392
70,1.1678333333333333,63,laptop,0.9280174970626831,1035,1575,2160,2826
70,1.1678333333333333,39,bottle,0.9028167724609375,550,1381,1012,2392
71,1.1845166666666667,63,laptop,0.93171226978302,1032,1575,2159,2825
71,1.1845166666666667,39,bottle,0.9083241820335388,547,1385,1013,2392
72,1.2012,63,laptop,0.9347453713417053,1031,1580,2159,2824
72,1.2012,39,bottle,0.9031757712364197,547,1389,1009,2393
73,1.2178833333333334,63,laptop,0.9346659183502197,1028,1586,2158,2824
73,1.2178833333333334,39,bottle,0.912433385848999,544,1394,1005,2393
74,1.2345666666666666,63,laptop,0.9353253841400146,1027,1586,2157,2824
74,1.2345666666666666,39,bottle,0.9030271768569946,545,1395,1005,2393
75,1.25125,63,laptop,0.9343165755271912,1025,1587,2158,2824
75,1.25125,39,bottle,0.904419481754303,538,1397,1003,2393
76,1.2679333333333334,63,laptop,0.9328438639640808,1022,1585,2157,2824
76,1.2679333333333334,39,bottle,0.9095796346664429,534,1399,1000,2393
77,1.2846166666666667,63,laptop,0.931042492389679,1020,1587,2158,2824
77,1.2846166666666667,39,bottle,0.9062929749488831,533,1391,999,2394
78,1.3013000000000001,63,laptop,0.9304086565971375,1019,1589,2157,2823
78,1.3013000000000001,39,bottle,0.9074047207832336,530,1399,995,2396
79,1.3179833333333333,63,laptop,0.9319791197776794,1017,1592,2157,2823
79,1.3179833333333333,39,bottle,0.8963811993598938,529,1398,994,2398
80,1.3346666666666667,63,laptop,0.9328382611274719,1015,1593,2157,2822
80,1.3346666666666667,39,bottle,0.8946024775505066,525,1400,991,2398
81,1.35135,63,laptop,0.9303789138793945,1014,1594,2157,2822
81,1.35135,39,bottle,0.8928232192993164,523,1400,989,2398
82,1.3680333333333334,63,laptop,0.9306177496910095,1014,1592,2158,2822
82,1.3680333333333334,39,bottle,0.8972479701042175,521,1400,987,2399
83,1.3847166666666666,63,laptop,0.9353175759315491,1011,1594,2157,2822
83,1.3847166666666666,39,bottle,0.8870429992675781,519,1400,982,2398
84,1.4014,63,laptop,0.9354549646377563,1008,1594,2157,2821
84,1.4014,39,bottle,0.89371657371521,513,1401,980,2399
85,1.4180833333333334,63,laptop,0.935899555683136,1005,1596,2158,2821
85,1.4180833333333334,39,bottle,0.9054297208786011,511,1397,978,2400
86,1.4347666666666667,63,laptop,0.9394102096557617,1002,1590,2156,2827
86,1.4347666666666667,39,bottle,0.9124970436096191,505,1402,975,2403
87,1.4514500000000001,63,laptop,0.9381568431854248,999,1593,2157,2828
87,1.4514500000000001,39,bottle,0.9089305400848389,503,1403,975,2406
88,1.4681333333333333,63,laptop,0.9371173977851868,996,1596,2158,2819
88,1.4681333333333333,39,bottle,0.9108749628067017,500,1403,970,2406
89,1.4848166666666667,63,laptop,0.9348849654197693,993,1593,2158,2819
89,1.4848166666666667,39,bottle,0.9085630178451538,502,1404,968,2412
90,1.5015,63,laptop,0.9373215436935425,991,1596,2159,2817
90,1.5015,39,bottle,0.9069697856903076,500,1403,966,2408
91,1.5181833333333334,63,laptop,0.9408589601516724,985,1595,2160,2817
91,1.5181833333333334,39,bottle,0.9124282598495483,493,1401,960,2410
92,1.5348666666666666,63,laptop,0.9416372179985046,979,1595,2160,2818
92,1.5348666666666666,39,bottle,0.9094035029411316,487,1401,957,2407
93,1.55155,63,laptop,0.9416807293891907,975,1595,2160,2818
93,1.55155,39,bottle,0.9136523604393005,486,1402,951,2410
94,1.5682333333333334,63,laptop,0.9395545721054077,973,1592,2160,2817
94,1.5682333333333334,39,bottle,0.9052380919456482,479,1395,950,2404
95,1.5849166666666668,63,laptop,0.9385201930999756,970,1595,2160,2814
95,1.5849166666666668,39,bottle,0.9056289196014404,474,1396,948,2403
96,1.6016000000000001,63,laptop,0.9411985278129578,969,1596,2160,2814
96,1.6016000000000001,39,bottle,0.9081649780273438,470,1398,946,2403
97,1.6182833333333333,63,laptop,0.9378608465194702,967,1597,2159,2813
97,1.6182833333333333,39,bottle,0.910786509513855,467,1398,942,2402
98,1.6349666666666667,63,laptop,0.9392824172973633,964,1598,2159,2812
98,1.6349666666666667,39,bottle,0.9062445163726807,459,1405,939,2408
