frame_number,timestamp,object_class_id,object_class_name,confidence_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
26,0.4337666666666667,39,bottle,0.9348637461662292,576,1373,1038,2384
27,0.45045,63,laptop,0.9569215774536133,1061,1576,2157,2843
27,0.45045,39,bottle,0.9355631470680237,573,1373,1036,2385
28,0.46713333333333334,63,laptop,0.9571622014045715,1059,1578,2157,2845
28,0.46713333333333334,39,bottle,0.9331097602844238,573,1374,1033,2386
29,0.4838166666666667,63,laptop,0.9569093585014343,1058,1580,2157,2848
29,0.4838166666666667,39,bottle,0.9319738149642944,571,1374,1031,2386
30,0.5005000000000001,63,laptop,0.957751989364624,1055,1582,2157,2850
30,0.5005000000000001,39,bottle,0.9273145794868469,564,1375,1029,2388
31,0.5171833333333333,63,laptop,0.9558480978012085,1054,1586,2158,2853
31,0.5171833333333333,39,bottle,0.9334025382995605,564,1379,1028,2390
32,0.5338666666666667,63,laptop,0.9561011791229248,1055,1586,2157,2854
32,0.5338666666666667,39,bottle,0.9316469430923462,563,1381,1028,2392
33,0.55055,63,laptop,0.9548370242118835,1057,1589,2157,2858
33,0.55055,39,bottle,0.930345356464386,565,1382,1028,2396
34,0.5672333333333334,63,laptop,0.9548342227935791,1059,1592,2157,2859
34,0.5672333333333334,39,bottle,0.9330998659133911,567,1383,1029,2398
35,0.5839166666666666,63,laptop,0.9573754668235779,1059,1592,2158,2861
35,0.5839166666666666,39,bottle,0.9327939748764038,569,1386,1031,2399
36,0.6006,63,laptop,0.9556132555007935,1058,1592,2158,2862
36,0.6006,39,bottle,0.9313595294952393,571,1389,1031,2402
37,0.6172833333333333,63,laptop,0.9543782472610474,1057,1593,2158,2863
37,0.6172833333333333,39,bottle,0.9326344132423401,570,1390,1031,2402
38,0.6339666666666667,63,laptop,0.9543023705482483,1060,1596,2160,2861
38,0.6339666666666667,39,bottle,0.9318362474441528,571,1389,1032,2402
39,0.6506500000000001,63,laptop,0.956259548664093,1064,1598,2160,2857
39,0.6506500000000001,39,bottle,0.9304164052009583,572,1388,1033,2401
40,0.6673333333333333,63,laptop,0.9560061693191528,1065,1595,2160,2857
40,0.6673333333333333,39,bottle,0.9323354363441467,573,1386,1034,2400
41,0.6840166666666667,63,laptop,0.9569738507270813,1066,1594,2160,2857
41,0.6840166666666667,39,bottle,0.9319263100624084,573,1385,1036,2399
42,0.7007,63,laptop,0.9562206268310547,1067,1594,2160,2857
42,0.7007,39,bottle,0.934393584728241,573,1386,1037,2399
43,0.7173833333333334,63,laptop,0.9568670988082886,1068,1592,2160,2857
43,0.7173833333333334,39,bottle,0.9342018961906433,573,1385,1038,2399
44,0.7340666666666666,63,laptop,0.9562223553657532,1068,1592,2160,2854
44,0.7340666666666666,39,bottle,0.9337325096130371,573,1384,1038,2399
45,0.75075,63,laptop,0.9563924670219421,1068,1591,2160,2852
45,0.75075,39,bottle,0.9364840388298035,573,1383,1037,2398
46,0.7674333333333333,63,laptop,0.956153154373169,1067,1587,2157,2852
46,0.7674333333333333,39,bottle,0.9338176250457764,573,1381,1037,2395
47,0.7841166666666667,63,laptop,0.9570422172546387,1066,1584,2157,2849
47,0.7841166666666667,39,bottle,0.9334043860435486,572,1380,1037,2394
48,0.8008000000000001,63,laptop,0.9564599394798279,1066,1583,2157,2845
48,0.8008000000000001,39,bottle,0.932726263999939,572,1377,1037,2393
49,0.8174833333333333,63,laptop,0.9565337896347046,1066,1584,2157,2845
49,0.8174833333333333,39,bottle,0.9335300922393799,571,1376,1037,2391
50,0.8341666666666667,63,laptop,0.956025242805481,1066,1584,2157,2845
50,0.8341666666666667,39,bottle,0.9354397058486938,573,1378,1037,2392
51,0.85085,63,laptop,0.9549754858016968,1066,1584,2157,2844
51,0.85085,39,bottle,0.9344051480293274,575,1380,1037,2392
52,0.8675333333333334,63,laptop,0.954569399356842,1069,1588,2160,2841
52,0.8675333333333334,39,bottle,0.9338954091072083,577,1381,1038,2393
53,0.8842166666666667,63,laptop,0.9549810290336609,1070,1590,2160,2843
53,0.8842166666666667,39,bottle,0.934816837310791,576,1384,1038,2394
54,0.9009,63,laptop,0.9552410840988159,1071,1592,2160,2841
54,0.9009,39,bottle,0.9351761937141418,576,1386,1038,2395
55,0.9175833333333333,63,laptop,0.9574921727180481,1071,1594,2160,2843
55,0.9175833333333333,39,bottle,0.9314429759979248,578,1389,1039,2395
56,0.9342666666666667,63,laptop,0.9574537873268127,1071,1596,2160,2842
56,0.9342666666666667,39,bottle,0.9317413568496704,577,1390,1039,2396
57,0.95095,63,laptop,0.9570983648300171,1070,1596,2160,2841
57,0.95095,39,bottle,0.9334955215454102,578,1391,1038,2396
58,0.9676333333333333,63,laptop,0.9570680856704712,1070,1595,2160,2841
58,0.9676333333333333,39,bottle,0.9351061582565308,577,1390,1038,2397
59,0.9843166666666667,63,laptop,0.9571793675422668,1071,1595,2160,2841
59,0.9843166666666667,39,bottle,0.9351853728294373,576,1390,1037,2397
60,1.0010000000000001,63,laptop,0.9571751952171326,1070,1592,2157,2838
60,1.0010000000000001,39,bottle,0.936128556728363,574,1390,1036,2397
61,1.0176833333333333,63,laptop,0.9561043381690979,1069,1595,2157,2837
61,1.0176833333333333,39,bottle,0.9346423745155334,573,1390,1034,2396
62,1.0343666666666667,63,laptop,0.9555240869522095,1068,1594,2160,2833
62,1.0343666666666667,39,bottle,0.9323284029960632,572,1387,1033,2394
63,1.05105,63,laptop,0.9559847116470337,1068,1590,2160,2828
63,1.05105,39,bottle,0.9318868517875671,567,1385,1030,2395
64,1.0677333333333334,63,laptop,0.9554426670074463,1065,1588,2160,2827
64,1.0677333333333334,39,bottle,0.9317894577980042,566,1385,1029,2394
65,1.0844166666666666,63,laptop,0.9557499885559082,1062,1586,2160,2825
65,1.0844166666666666,39,bottle,0.9329851865768433,561,1384,1027,2392
66,1.1011,63,laptop,0.9558448195457458,1058,1584,2160,2824
66,1.1011,39,bottle,0.9399789571762085,560,1383,1025,2393
67,1.1177833333333334,63,laptop,0.9555567502975464,1054,1584,2160,2821
67,1.1177833333333334,39,bottle,0.9446691274642944,558,1382,1022,2391
68,1.1344666666666667,63,laptop,0.9540764093399048,1049,1584,2160,2824
68,1.1344666666666667,39,bottle,0.9529058933258057,554,1383,1018,2389
69,1.1511500000000001,63,laptop,0.9548097252845764,1047,1585,2160,2822
69,1.1511500000000001,39,bottle,0.9436411261558533,550,1384,1017,2389
69,1.1511500000000001,66,keyboard,0.4008324146270752,1175,2173,2151,2542
70,1.1678333333333333,63,laptop,0.9551684260368347,1044,1585,2160,2822
70,1.1678333333333333,39,bottle,0.944989025592804,545,1386,1013,2391
70,1.1678333333333333,66,keyboard,0.4027538001537323,1173,2174,2147,2541
71,1.1845166666666667,63,laptop,0.9547910690307617,1039,1583,2157,2824
71,1.1845166666666667,39,bottle,0.9487937092781067,544,1387,1011,2391
71,1.1845166666666667,66,keyboard,0.4004996120929718,1171,2175,2139,2539
72,1.2012,63,laptop,0.9560980200767517,1038,1585,2157,2824
72,1.2012,39,bottle,0.9470045566558838,542,1390,1009,2393
72,1.2012,66,keyboard,0.40436893701553345,1169,2175,2132,2538
73,1.2178833333333334,63,laptop,0.9561012983322144,1035,1588,2157,2825
73,1.2178833333333334,39,bottle,0.9522762298583984,540,1392,1006,2394
73,1.2178833333333334,66,keyboard,0.41995131969451904,1168,2177,2128,2539
74,1.2345666666666666,63,laptop,0.9571528434753418,1036,1591,2159,2824
74,1.2345666666666666,39,bottle,0.9463140964508057,539,1393,1005,2396
74,1.2345666666666666,66,keyboard,0.4028390347957611,1166,2177,2126,2539
75,1.25125,63,laptop,0.9567518830299377,1032,1591,2157,2824
75,1.25125,39,bottle,0.9425399303436279,536,1396,1003,2396
76,1.2679333333333334,63,laptop,0.9565076231956482,1030,1591,2157,2824
76,1.2679333333333334,39,bottle,0.9528540372848511,535,1399,1001,2396
76,1.2679333333333334,66,keyboard,0.41104939579963684,1163,2179,2122,2538
77,1.2846166666666667,63,laptop,0.9554012417793274,1028,1591,2156,2823
77,1.2846166666666667,39,bottle,0.9419999122619629,533,1399,999,2397
77,1.2846166666666667,66,keyboard,0.40823352336883545,1159,2179,2118,2538
78,1.3013000000000001,63,laptop,0.9558536410331726,1026,1594,2157,2823
78,1.3013000000000001,39,bottle,0.9544230103492737,530,1400,994,2399
78,1.3013000000000001,66,keyboard,0.4022842347621918,1157,2180,2117,2537
79,1.3179833333333333,63,laptop,0.9564295411109924,1025,1594,2157,2824
79,1.3179833333333333,39,bottle,0.9456243515014648,529,1401,992,2400
80,1.3346666666666667,63,laptop,0.9562253952026367,1024,1595,2157,2824
80,1.3346666666666667,39,bottle,0.9430117011070251,524,1402,990,2401
80,1.3346666666666667,66,keyboard,0.4130416512489319,1152,2179,2111,2537
81,1.35135,63,laptop,0.9560858011245728,1022,1596,2157,2823
81,1.35135,39,bottle,0.9415594339370728,523,1405,987,2401
81,1.35135,66,keyboard,0.4218480885028839,1150,2179,2109,2537
82,1.3680333333333334,63,laptop,0.9571056365966797,1020,1599,2157,2824
82,1.3680333333333334,39,bottle,0.9300930500030518,520,1404,986,2401
82,1.3680333333333334,66,keyboard,0.41464632749557495,1144,2180,2108,2538
83,1.3847166666666666,63,laptop,0.9567398428916931,1018,1598,2158,2824
83,1.3847166666666666,39,bottle,0.9327797889709473,516,1404,984,2404
83,1.3847166666666666,66,keyboard,0.40191322565078735,1143,2181,2104,2538
84,1.4014,63,laptop,0.9562212824821472,1016,1599,2158,2824
84,1.4014,39,bottle,0.932843029499054,513,1406,982,2404
84,1.4014,66,keyboard,0.4014670252799988,1139,2180,2100,2537
85,1.4180833333333334,63,laptop,0.9578431248664856,1014,1599,2158,2824
85,1.4180833333333334,39,bottle,0.9344730973243713,513,1407,980,2405
86,1.4347666666666667,63,laptop,0.9577422738075256,1012,1599,2158,2824
86,1.4347666666666667,39,bottle,0.9323126673698425,509,1408,978,2406
87,1.4514500000000001,63,laptop,0.9575523734092712,1009,1599,2158,2824
87,1.4514500000000001,39,bottle,0.9332515597343445,506,1409,975,2407
88,1.4681333333333333,63,laptop,0.9584327340126038,1004,1599,2158,2823
88,1.4681333333333333,39,bottle,0.9337093234062195,499,1409,971,2407
89,1.4848166666666667,63,laptop,0.9587079286575317,1001,1597,2158,2822
89,1.4848166666666667,39,bottle,0.928583025932312,498,1409,968,2408
90,1.5015,63,laptop,0.958296537399292,996,1598,2158,2821
90,1.5015,39,bottle,0.9289464950561523,493,1409,964,2405
91,1.5181833333333334,63,laptop,0.9571064114570618,993,1599,2158,2822
91,1.5181833333333334,39,bottle,0.9305869936943054,488,1409,961,2408
92,1.5348666666666666,63,laptop,0.9577886462211609,989,1601,2158,2822
92,1.5348666666666666,39,bottle,0.9303798675537109,484,1409,958,2406
93,1.55155,63,laptop,0.9577652215957642,987,1602,2158,2820
93,1.55155,39,bottle,0.9332612752914429,482,1408,954,2406
94,1.5682333333333334,63,laptop,0.9580470323562622,983,1601,2158,2818
94,1.5682333333333334,39,bottle,0.9337072372436523,477,1407,951,2406
95,1.5849166666666668,63,laptop,0.9577007293701172,979,1601,2158,2817
95,1.5849166666666668,39,bottle,0.9326156973838806,475,1407,949,2405
96,1.6016000000000001,63,laptop,0.9574636220932007,975,1597,2159,2817
96,1.6016000000000001,39,bottle,0.931547224521637,471,1408,946,2405
97,1.6182833333333333,63,laptop,0.9567798972129822,973,1601,2159,2816
97,1.6182833333333333,39,bottle,0.9341517686843872,464,1408,943,2405
98,1.6349666666666667,63,laptop,0.9566271305084229,970,1598,2158,2814
98,1.6349666666666667,39,bottle,0.9477047920227051,462,1412,938,2407
99,1.65165,63,laptop,0.9561686515808105,966,1596,2158,2814
99,1.65165,39,bottle,0.9552449584007263,456,1412,935,2407
100,1.6683333333333334,63,laptop,0.9557358026504517,961,1598,2158,2812
100,1.6683333333333334,39,bottle,0.9469350576400757,452,1412,933,2408
101,1.6850166666666666,39,bottle,0.9581689238548279,448,1413,928,2408
101,1.6850166666666666,63,laptop,0.9551047086715698,959,1597,2158,2811
102,1.7017,39,bottle,0.9560393691062927,445,1414,926,2408
102,1.7017,63,laptop,0.9526981115341187,952,1601,2158,2810
102,1.7017,39,bottle,0.4838840365409851,1986,1789,2159,2120
103,1.7183833333333334,39,bottle,0.9530789256095886,442,1415,923,2407
103,1.7183833333333334,63,laptop,0.9528229236602783,948,1597,2157,2807
103,1.7183833333333334,66,keyboard,0.4127824902534485,1082,2178,2010,2509
104,1.7350666666666668,39,bottle,0.9551077485084534,440,1415,920,2406
104,1.7350666666666668,63,laptop,0.9535740613937378,945,1599,2157,2804
104,1.7350666666666668,66,keyboard,0.4197937250137329,1080,2179,2009,2507
105,1.7517500000000001,39,bottle,0.952994167804718,439,1416,917,2406
105,1.7517500000000001,63,laptop,0.9529429078102112,942,1597,2157,2801
105,1.7517500000000001,66,keyboard,0.41029125452041626,1077,2178,2004,2504
106,1.7684333333333333,63,laptop,0.9555193185806274,939,1602,2157,2800
106,1.7684333333333333,39,bottle,0.947026252746582,435,1416,914,2406
107,1.7851166666666667,63,laptop,0.9561786651611328,937,1595,2156,2796
107,1.7851166666666667,39,bottle,0.9508360028266907,434,1417,912,2407
107,1.7851166666666667,39,bottle,0.5331344604492188,1965,1783,2158,2114
108,1.8018,63,laptop,0.9567996859550476,933,1599,2154,2791
108,1.8018,39,bottle,0.945113480091095,430,1417,908,2406
108,1.8018,39,bottle,0.514583170413971,1962,1783,2158,2114
108,1.8018,64,mouse,0.47772204875946045,2103,2135,2159,2336
109,1.8184833333333335,63,laptop,0.9561448693275452,931,1600,2152,2790
109,1.8184833333333335,39,bottle,0.9397570490837097,427,1417,905,2407
109,1.8184833333333335,64,mouse,0.4073508679866791,2098,2130,2159,2343
110,1.8351666666666666,63,laptop,0.9559891819953918,926,1601,2147,2785
110,1.8351666666666666,39,bottle,0.934808075428009,425,1418,902,2408
111,1.85185,63,laptop,0.9549226760864258,920,1603,2135,2782
111,1.85185,39,bottle,0.9348886609077454,418,1418,897,2408
111,1.85185,39,bottle,0.4806883633136749,1948,1780,2157,2111
111,1.85185,66,keyboard,0.40719375014305115,1057,2178,1974,2494
112,1.8685333333333334,63,laptop,0.9535835981369019,918,1606,2126,2780
112,1.8685333333333334,39,bottle,0.9374977350234985,416,1418,892,2408
112,1.8685333333333334,39,bottle,0.6249892115592957,1940,1779,2156,2110
113,1.8852166666666668,63,laptop,0.9488663673400879,914,1606,2122,2779
113,1.8852166666666668,39,bottle,0.9324013590812683,413,1417,889,2406
113,1.8852166666666668,39,bottle,0.6427218914031982,1934,1779,2156,2107
114,1.9019,63,laptop,0.9453848600387573,909,1609,2115,2775
114,1.9019,39,bottle,0.9307047128677368,408,1419,886,2408
114,1.9019,39,bottle,0.6629119515419006,1930,1779,2157,2104
115,1.9185833333333333,63,laptop,0.9460480213165283,904,1606,2100,2772
115,1.9185833333333333,39,bottle,0.9276493787765503,405,1423,882,2409
115,1.9185833333333333,39,bottle,0.6827123165130615,1926,1782,2158,2104
116,1.9352666666666667,63,laptop,0.9464773535728455,902,1609,2092,2772
116,1.9352666666666667,39,bottle,0.9338212609291077,395,1424,879,2410
116,1.9352666666666667,39,bottle,0.6427927017211914,1920,1781,2155,2106
116,1.9352666666666667,64,mouse,0.5636438131332397,2054,2106,2159,2366
117,1.95195,63,laptop,0.9496103525161743,900,1609,2086,2771
117,1.95195,39,bottle,0.9301900267601013,393,1426,874,2411
117,1.95195,39,bottle,0.6148898601531982,1916,1782,2152,2104
117,1.95195,64,mouse,0.5243682861328125,2048,2103,2158,2371
118,1.9686333333333335,63,laptop,0.951794445514679,897,1610,2081,2768
118,1.9686333333333335,39,bottle,0.9309549331665039,388,1427,872,2410
118,1.9686333333333335,39,bottle,0.665374755859375,1911,1782,2150,2103
